MoveIt! version 65805
Experiment unfurl
Running on furkand
Starting at 2023-Nov-10 15:41:24.814913
<<<|
|>>>
0 is the random seed
200 seconds per run
-1 MB per run
25.2278 seconds spent to collect the data
0 enum types
2 planners
RRTGoalRegion1
0 common properties
17 properties for each run
time REAL
success BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
200 runs
0.053736; 1; 6.9429493763600831; furkand; 852748; 140324317755136; 2.4861810000000002; 0; 2.432445; 0; 33; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.046172; 1; 7.3819312104720316; furkand; 852748; 140324317755136; 2.5324439999999999; 0; 2.486272; 0; 38; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.265305; 1; 8.1088067010892058; furkand; 852748; 140324309362432; 2.6517940000000002; 0; 2.3864890000000001; 0; 31; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.046188; 1; 12.814100618377111; furkand; 852748; 140324309362432; 2.698102; 0; 2.6519140000000001; 0; 40; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.456833; 1; 6.8996873853762732; furkand; 852748; 140324334540544; 2.9367139999999998; 0; 2.4798809999999998; 0; 36; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.46879; 1; 9.8787211247313387; furkand; 852748; 140324326147840; 2.9510109999999998; 0; 2.482221; 0; 37; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.439972; 1; 6.812037189217933; furkand; 852748; 140324317755136; 2.9725139999999999; 0; 2.5325419999999998; 0; 39; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.037399; 1; 6.9320313355163412; furkand; 852748; 140324334540544; 2.9742389999999999; 0; 2.9368400000000001; 0; 42; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.0499; 1; 7.7376892843518013; furkand; 852748; 140324326147840; 3.001026; 0; 2.9511259999999999; 0; 43; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.051608; 1; 7.0724846428812862; furkand; 852748; 140324317755136; 3.0242390000000001; 0; 2.9726309999999998; 0; 44; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.059499; 1; 7.0997457508124837; furkand; 852748; 140324334540544; 3.0338449999999999; 0; 2.9743460000000002; 0; 45; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.053799; 1; 6.8855163168467142; furkand; 852748; 140324317755136; 3.0781679999999998; 0; 3.0243690000000001; 0; 47; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.449765; 1; 10.846215662841145; furkand; 852748; 140324309362432; 3.1479819999999998; 0; 2.6982170000000001; 0; 41; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.256796; 1; 13.285295959074448; furkand; 852748; 140324309362432; 3.404903; 0; 3.148107; 0; 50; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.447555; 1; 6.8658471225018172; furkand; 852748; 140324326147840; 3.4487019999999999; 0; 3.001147; 0; 46; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.057559; 1; 13.106983697186219; furkand; 852748; 140324326147840; 3.5063900000000001; 0; 3.4488310000000002; 0; 52; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.053843; 1; 6.4090879706868717; furkand; 852748; 140324326147840; 3.5604719999999999; 0; 3.5066290000000002; 0; 53; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.063875; 1; 6.2432903611704518; furkand; 852748; 140324326147840; 3.624584; 0; 3.5607090000000001; 0; 54; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.458815; 1; 8.8062646496447634; furkand; 852748; 140324309362432; 3.863966; 0; 3.405151; 0; 51; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.041033; 1; 7.4680987218873485; furkand; 852748; 140324309362432; 3.905135; 0; 3.8641019999999999; 0; 56; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.85356; 1; 7.3222126121506195; furkand; 852748; 140324317755136; 3.931845; 0; 3.0782850000000002; 0; 49; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.455048; 1; 13.330463700695022; furkand; 852748; 140324326147840; 4.0798819999999996; 0; 3.6248339999999999; 0; 55; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.240543; 1; 7.0647721208000114; furkand; 852748; 140324309362432; 4.1458120000000003; 0; 3.9052690000000001; 0; 57; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.048666; 1; 8.9445192916920817; furkand; 852748; 140324309362432; 4.1946199999999996; 0; 4.1459539999999997; 0; 60; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.039661; 1; 7.1085946777816345; furkand; 852748; 140324309362432; 4.2344229999999996; 0; 4.1947619999999999; 0; 61; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
1.26219; 1; 13.092613725905945; furkand; 852748; 140324334540544; 4.2962449999999999; 0; 3.0340579999999999; 0; 48; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.043544; 1; 13.421613891582878; furkand; 852748; 140324334540544; 4.3399460000000003; 0; 4.2964019999999996; 0; 63; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.445554; 1; 6.9471526812136402; furkand; 852748; 140324317755136; 4.3775279999999999; 0; 3.9319739999999999; 0; 58; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.050732; 1; 7.0880729166607601; furkand; 852748; 140324317755136; 4.4283970000000004; 0; 4.3776650000000004; 0; 65; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.04558; 1; 12.982913947574371; furkand; 852748; 140324317755136; 4.474119; 0; 4.4285389999999998; 0; 66; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.240192; 1; 6.8625728540230604; furkand; 852748; 140324309362432; 4.4748849999999996; 0; 4.234693; 0; 62; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.442345; 1; 6.7960966517008554; furkand; 852748; 140324326147840; 4.5223630000000004; 0; 4.0800179999999999; 0; 59; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.245899; 1; 6.4829859668084904; furkand; 852748; 140324326147840; 4.7684049999999996; 0; 4.5225059999999999; 0; 69; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.055559; 1; 11.539019783731675; furkand; 852748; 140324326147840; 4.8242710000000004; 0; 4.7687119999999998; 0; 70; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
